,Y
7445,1
12866,0
6466,1
16214,1
3488,1
1999,1
3208,1
14456,0
7749,1
12110,0
13478,1
9196,1
3674,1
16638,1
8952,0
4288,0
7042,1
12973,0
17101,0
1734,0
6130,0
1494,1
2465,1
1214,1
1022,1
10455,1
16917,1
1611,0
2287,1
281,1
6789,0
8346,1
4277,1
9037,1
2354,0
10782,1
972,0
212,0
11032,0
6984,1
13742,0
12324,0
163,1
7723,1
10794,0
16213,1
17733,0
15338,1
9960,0
13695,0
6627,0
12845,1
11638,1
5457,0
12250,1
7482,1
11256,1
10705,0
4520,0
2760,0
3575,1
10696,1
12264,0
15447,0
8077,0
8389,0
11105,0
11756,0
9891,0
3419,1
7404,1
1073,1
13342,0
17917,1
4966,0
14838,0
10153,1
2021,0
4459,0
17403,1
948,0
192,0
2530,0
12308,1
10315,1
13235,0
10220,0
11008,1
9,0
3291,1
1145,1
15154,0
11269,0
16363,0
1901,0
13821,0
5608,1
702,1
2112,1
3931,0
4102,1
3547,0
4705,1
2880,0
11151,1
11373,0
17268,1
15442,0
16091,1
17829,1
8573,1
16599,1
13242,1
8135,1
15181,1
2891,1
4817,1
4185,0
10409,1
887,1
3379,0
17786,1
11339,1
10512,1
9857,1
12385,1
16189,0
623,1
7246,1
2770,0
2422,0
11408,0
16168,0
7311,1
14249,1
2416,0
2703,0
529,1
15324,1
13611,1
15104,0
15579,1
4731,0
17243,1
14333,1
12999,0
4384,1
970,1
5842,0
4108,0
5726,0
9850,1
8344,0
9772,1
7814,1
9415,0
440,1
785,0
12822,0
1456,1
3717,1
9092,1
16660,0
2131,0
17628,0
1254,0
10883,0
17571,1
805,0
5980,1
5606,0
14625,0
3103,1
13949,1
16244,0
6241,0
15842,1
16149,1
12574,1
5078,0
10541,0
6286,1
6765,0
12731,0
6066,0
7259,0
11397,0
8232,0
9435,1
6344,1
13595,0
7847,1
16183,0
16721,0
13597,1
1486,1
4749,0
12370,0
14982,0
870,1
16954,1
15479,0
15999,0
13931,0
4952,0
15655,0
12384,0
3224,0
5111,0
14216,1
15578,0
11837,1
16766,0
12821,0
1589,0
4798,0
4824,1
10862,1
16124,0
5150,1
3461,1
9733,0
8584,0
10419,0
7164,1
10662,1
17948,0
14585,1
2644,0
8228,1
2847,0
12493,0
2084,1
443,0
13672,1
10578,0
6975,1
522,1
7942,0
5719,0
9925,0
5414,0
9630,1
5811,0
5909,0
1991,0
4494,0
5101,0
15346,0
14292,0
13105,1
1941,1
11402,0
6787,0
12545,1
12140,0
14789,1
736,1
15699,0
17773,0
11804,0
1436,0
11412,0
17496,0
3457,1
2170,1
53,1
1091,1
4767,0
15916,1
16069,1
7529,1
9887,0
17233,1
6696,1
7689,1
250,1
136,1
3881,0
13335,0
1002,1
12632,1
8857,0
5296,0
651,1
11968,1
1591,1
7777,0
9380,1
1337,1
752,0
9280,0
5595,1
10990,0
16286,0
5836,0
2908,0
1268,0
5659,1
2789,0
5527,1
4128,0
9152,0
7647,1
10403,0
4414,1
15728,0
5936,0
6577,0
3035,1
3064,1
8962,1
14305,1
5033,1
9557,0
10539,0
12272,0
3501,0
17324,0
12132,0
6484,0
12199,1
13862,1
12226,0
14944,1
8565,0
137,0
12259,0
16221,0
15014,1
1282,0
12095,1
12580,1
2547,0
958,1
1855,0
2664,0
12946,1
5404,0
8330,1
14271,1
2518,0
17252,0
9923,1
16626,0
12042,1
9182,0
6302,0
3727,1
7857,1
10508,1
10413,0
5577,0
5246,0
13699,1
6650,0
17013,1
3828,1
9884,0
13336,0
885,0
16477,1
1014,0
6470,0
14180,0
3155,0
3229,0
6109,1
13865,1
6290,0
9536,1
3243,0
9298,1
17465,1
1966,1
12107,1
10542,0
15060,0
10852,1
6190,1
7073,1
9401,0
4320,0
6498,0
2003,0
5613,0
9582,0
9758,0
7658,1
12494,1
5234,1
5993,0
1513,1
10306,0
11456,0
3718,0
7868,1
16547,1
5380,1
15631,1
4965,0
11337,0
10833,0
16906,0
10692,0
16773,0
16761,0
15001,1
8669,0
14734,0
4167,0
5229,1
11188,0
15653,1
3561,0
8705,1
15344,1
10278,0
10854,1
5462,0
8284,1
5915,1
2671,1
11500,1
5750,0
15095,1
15485,0
121,0
1935,0
13915,0
8145,0
15396,1
15202,0
6242,0
5502,1
13014,1
14177,1
8409,0
4294,1
1563,1
8754,0
4772,0
5810,0
716,1
7512,0
14810,1
1236,1
3739,0
8426,1
2194,1
3657,0
10110,1
11124,0
10638,0
2255,1
4989,1
8670,1
10599,0
5155,0
1948,0
5222,1
322,0
9039,0
4170,0
2178,0
14453,1
14864,0
11288,0
796,0
11230,0
13171,0
14632,1
12701,0
3633,0
17361,0
2159,0
3272,0
1353,0
72,1
8538,0
8821,1
12041,0
8102,0
13303,1
16811,0
9791,0
15131,1
7716,0
11469,1
9613,0
5870,0
5999,0
7574,1
7719,1
6912,1
15364,1
4068,1
12125,1
11145,0
11999,1
12990,1
6464,1
1869,1
11672,1
13591,0
15365,1
7527,0
1438,0
2876,0
17544,0
13267,1
5742,1
17845,0
17657,1
10341,1
14821,0
777,1
5578,1
6120,0
1932,0
14243,1
7112,0
2080,0
12427,0
13271,1
12233,0
3059,1
3929,1
16872,0
7907,0
10891,1
10112,0
14605,1
5925,1
16106,0
12860,1
12180,0
7901,1
6032,1
12752,1
10398,0
6330,0
15773,0
10330,0
7389,0
9506,1
4714,1
11417,0
1442,1
2892,0
13225,0
10389,0
15624,1
16176,0
1047,0
4172,0
14704,1
14372,1
8069,0
222,0
5496,1
317,0
2823,1
9809,0
1975,1
6295,1
8130,1
2048,0
6488,1
5605,1
6158,1
6454,0
17412,1
6599,1
13898,0
12050,1
10195,0
3879,1
11743,1
16709,0
13770,0
9994,1
15537,0
2233,0
1172,0
6359,1
13025,0
4768,1
12861,0
5820,0
12070,1
6963,1
8015,0
12569,1
7519,0
15230,0
11605,0
17936,0
3549,1
7931,1
10211,0
5132,1
6800,1
3385,1
9202,1
2645,1
5460,1
16734,0
9982,0
10654,1
1632,1
7609,0
17791,0
562,0
3269,0
10769,0
7733,1
6064,1
17099,0
12165,1
6570,1
1977,0
3830,1
11439,0
7729,0
17161,0
11495,0
5782,0
2692,1
492,1
6606,1
3090,1
8051,1
8823,1
4563,1
5826,0
10295,1
4807,0
6051,1
9824,0
9964,0
7380,1
14679,1
17387,1
307,1
10906,0
17200,0
1851,0
6139,1
16628,0
11299,1
9052,1
17695,1
16451,0
11769,1
12713,1
12248,1
11395,1
7099,0
16928,1
10815,1
7578,0
8217,0
14984,1
753,0
10488,1
7841,0
14028,0
9765,1
452,0
1880,1
1205,0
3442,0
4524,1
12549,0
11258,1
1918,1
15004,0
5896,0
9585,0
2612,0
17545,1
3934,1
9460,0
9487,1
9637,0
2844,1
7253,0
6657,0
8491,0
8510,0
952,0
17064,0
2803,1
5077,0
10051,0
16298,0
6341,0
14591,1
11918,0
6004,1
9579,0
14731,1
2172,1
7800,0
11502,1
40,1
5885,0
4696,1
17248,1
1569,1
6161,0
7224,1
5549,0
10231,0
4630,1
6118,1
7567,0
17159,1
16746,1
15871,1
7023,0
16237,0
14341,0
10736,1
3845,0
6712,0
2659,0
14581,0
8997,1
273,0
2250,0
17338,1
8253,1
7725,1
9313,1
4844,1
5757,1
4573,1
7302,1
5388,1
3321,0
17945,1
802,0
16138,1
6565,0
10605,1
12399,0
11581,1
5591,0
15601,0
3049,1
17390,1
15963,0
8335,1
600,0
6060,1
10282,1
6006,1
2396,1
3001,1
12313,1
13475,0
11869,0
6224,0
15397,1
15740,1
17748,0
15892,0
10463,0
15036,1
969,0
7011,0
6944,1
5857,1
13927,1
4235,1
15433,0
16868,1
3755,1
17019,1
12008,0
3876,1
3417,0
16360,1
4289,1
8716,0
7695,0
6555,0
16653,0
9915,0
8340,1
9013,0
6405,1
16300,0
16169,0
13407,1
15379,0
16769,0
9441,0
7485,0
13957,0
6214,1
221,0
11090,1
4016,0
2680,0
1926,1
11864,1
8378,0
14176,0
2160,1
16163,0
9865,1
14133,1
206,1
14325,1
15,0
7632,0
12645,0
1291,1
9132,1
10622,1
3232,1
1923,1
15030,1
10285,0
16910,0
15132,0
10535,1
16375,1
7330,0
2550,0
11941,1
12315,1
14983,1
11614,0
6869,1
13974,1
8152,0
5167,0
9287,0
7687,1
4589,0
318,1
14408,0
17685,1
8860,0
11661,0
13454,1
5852,0
1757,1
7135,0
4279,1
5036,0
6105,1
10053,0
17938,0
15417,0
6862,0
15840,1
12888,1
9319,1
4228,0
15274,1
12680,0
14930,0
2771,0
5257,0
16432,1
17102,1
2942,1
13872,0
9450,0
11615,1
3151,0
837,0
14367,1
8583,0
8065,0
17350,0
13555,1
8710,1
4823,0
3406,0
15352,0
12304,0
17808,0
2586,0
15912,1
5624,0
5032,0
256,1
9896,0
16662,0
16526,0
2921,1
3783,1
4891,1
14795,0
1032,1
5711,0
12997,1
16603,1
10054,1
28,0
12448,1
16027,1
11156,0
2808,1
6822,1
10628,1
27,1
10136,0
3742,0
16145,1
6778,0
1097,0
6633,0
1909,1
6377,0
1160,0
2964,0
4445,1
11194,1
354,0
505,1
14882,0
4535,0
5184,0
10937,0
10754,0
13771,1
12942,0
12825,0
14618,1
9410,0
9971,1
7874,1
3603,0
367,0
13287,1
1412,1
8114,0
175,0
5569,0
4739,1
2869,0
10586,0
12236,0
6482,1
4004,1
6221,0
7388,1
3774,0
1800,1
12737,0
17333,0
15522,1
1133,1
7936,1
997,1
6487,1
6829,0
15368,1
3885,1
10507,0
8107,1
2590,1
2265,0
16255,0
1712,0
16554,1
8545,0
1892,0
12198,0
7478,1
91,0
15253,1
15859,0
263,0
11767,0
14398,1
17669,1
1904,1
8431,0
5104,1
14889,0
16975,0
11686,1
1041,1
15455,1
12271,1
6170,0
5707,0
16690,1
1474,1
16972,0
17582,0
1308,0
10669,0
6583,0
13420,0
7355,0
4110,0
425,0
9030,0
3489,0
2790,0
13223,1
14743,1
216,0
6812,1
6388,1
356,1
16334,0
13933,1
4040,1
7826,1
9851,1
9854,0
17150,0
13882,1
15721,1
17491,0
3973,1
13537,0
2807,0
14089,1
1153,1
8405,1
4835,1
5369,0
3364,0
10249,0
6225,0
3725,0
9677,0
1915,1
11926,0
17267,1
401,0
13569,0
6986,0
10683,0
7271,0
12541,1
1090,0
17275,1
6764,1
2910,0
8587,0
2930,0
10265,0
17362,1
11665,0
821,1
8540,0
15103,0
450,1
1129,1
12288,1
14856,0
13289,1
276,1
603,1
5483,1
6215,0
3950,1
13106,1
16682,0
14963,0
12610,0
3248,0
17762,1
3455,0
8836,0
6287,1
10178,0
16548,1
13358,0
8027,0
13096,0
11544,1
5301,0
9941,1
1491,0
575,1
2359,0
935,1
12612,0
15416,1
15186,1
12295,0
1418,1
13887,1
14361,0
9385,1
8385,1
5561,1
11431,1
17490,0
10464,1
8273,1
314,1
6967,0
2739,0
3106,1
1795,0
5535,1
8513,0
12439,0
1175,0
14131,0
6676,0
11956,0
4432,0
8609,1
14447,1
15271,1
6685,0
13656,1
16421,1
9966,1
12592,0
10037,1
11113,0
15733,0
232,1
15360,1
11657,1
14282,1
14917,1
3281,1
10348,1
7344,1
13043,1
2,0
16961,0
12267,0
10309,0
6065,1
2832,0
12429,1
3841,1
1613,1
8509,0
2435,0
6824,0
211,1
9759,1
6416,1
16120,0
13550,0
8471,1
9622,1
7570,1
17289,1
1453,1
4312,1
12702,0
4853,0
3756,1
1005,0
16204,0
831,0
17782,1
11493,0
6371,1
3617,0
8224,1
10452,0
12124,0
16419,0
6853,0
13193,1
7662,1
9082,0
11871,0
5470,0
7930,0
63,1
8570,1
2777,1
17863,0
17391,0
17388,0
13397,0
16343,1
17635,1
7257,1
3267,0
16015,0
15240,0
16219,1
10762,1
570,0
15301,0
5397,0
691,1
16798,0
9864,1
16650,0
10266,1
14395,1
13400,0
10081,1
5344,0
13007,1
3799,1
430,0
1,0
4210,0
3244,1
4979,0
14576,0
13718,0
13222,0
9736,1
3104,1
6788,1
12408,1
7855,1
13588,1
166,1
14056,0
2935,0
7139,0
15236,0
17920,1
9065,0
12171,0
2065,0
10897,0
16351,1
1978,0
2051,1
12905,0
10748,1
5461,1
6282,0
13871,0
13730,1
10641,1
3361,0
8556,1
16572,1
15894,1
13549,1
14425,0
10079,0
10970,1
9177,1
10810,0
16389,0
15277,1
11488,1
13674,1
4841,0
17535,1
10588,1
14778,1
7144,1
10098,0
14011,0
9707,1
10746,1
9372,0
16158,0
13873,1
13645,1
6562,1
12571,0
8647,1
7654,0
13317,0
12176,1
11343,1
3988,1
11797,0
5913,1
12441,1
5891,0
8822,1
16222,1
1293,0
10798,1
2009,0
13710,0
8410,0
223,0
16225,1
11018,1
1074,1
14906,0
3909,1
3007,1
9544,0
13490,1
4599,0
9355,0
12947,0
5551,1
7492,0
16143,1
16964,0
2224,1
10761,1
9704,1
2672,0
13501,1
14073,0
2840,0
1259,1
15441,0
14016,0
16304,0
9804,1
6620,0
1597,1
1476,1
11899,0
6183,0
8334,1
1275,0
7750,1
16651,1
9638,1
4321,0
1093,1
1181,0
11084,0
1556,1
9748,1
10489,0
1936,1
13956,0
4113,0
12957,1
9921,0
233,1
4497,0
2237,1
7134,0
2310,1
11548,0
2885,1
13839,1
5687,1
8164,0
13568,0
6749,0
17703,0
12976,0
6384,0
14289,0
8094,0
7493,0
17247,0
5991,0
3851,1
15024,1
7490,1
4373,1
17689,0
14300,1
8291,1
9072,1
17376,0
17606,0
9542,1
5081,0
2941,1
13484,1
13061,1
14227,1
4125,1
4698,0
12898,0
8336,0
2831,0
369,1
3744,1
7104,0
9354,0
1541,1
7155,1
3205,1
6297,0
9015,1
468,0
7361,1
10540,1
11211,1
16373,1
15564,1
12851,1
4448,1
4923,1
1616,1
3933,0
2489,1
15362,1
7130,0
9130,0
17602,1
10714,1
10880,1
1415,0
6717,1
9769,0
11916,1
1581,1
15545,1
5456,1
14049,1
15315,0
3704,1
11732,0
5255,0
11685,1
16152,0
2695,0
17193,1
11981,1
16648,0
624,1
8316,1
14623,1
6692,0
7824,1
12858,0
15167,0
15404,0
1774,1
5741,0
9706,1
12740,1
15513,0
17446,1
12146,1
14381,1
7636,1
3191,1
3173,1
12597,1
15937,0
10150,0
265,1
17012,0
16911,0
4751,0
9811,0
4525,0
11305,0
12028,0
2373,1
6213,0
10322,0
9671,1
3626,1
16786,0
5136,1
5876,0
1199,0
1196,0
13892,0
15135,1
10325,1
8147,0
6436,1
2704,0
4975,1
14377,0
3466,1
5345,0
2367,1
15602,1
16116,0
3867,1
3770,1
6327,0
1211,1
3496,0
1404,0
14358,0
16797,0
10283,1
10702,0
4538,0
2370,0
12827,1
596,1
8226,0
6316,1
12972,1
8045,1
13175,1
16257,0
4122,0
10660,1
1527,0
13526,0
2457,0
2977,1
3027,0
2353,1
17366,1
13408,0
2750,0
15518,1
3,1
6753,1
7187,1
7191,0
11072,0
6254,0
7222,1
16242,0
13504,0
2424,1
65,0
2816,1
7671,1
6455,1
7457,1
14229,1
12920,1
5848,0
4584,0
12375,0
12908,1
8841,1
4750,0
15068,1
17098,1
3276,0
4229,0
5406,0
9267,0
11727,0
6663,1
1484,0
14076,0
6255,1
16308,1
15325,0
16529,0
4241,0
8774,1
4600,0
5046,0
13296,0
406,0
6698,1
11321,1
12136,1
7627,1
8867,1
3256,1
16245,1
9664,1
1425,0
15205,1
4931,0
16916,1
6997,0
6099,1
14777,1
14393,0
6711,1
11429,0
1866,1
12062,0
7718,0
11634,0
14394,0
6409,0
12806,1
7881,0
7700,1
8049,0
13252,0
761,0
9844,0
7663,0
7523,1
14280,0
10817,1
14905,1
15580,1
12300,1
2485,1
2017,0
6573,0
2296,0
10914,0
943,1
15698,1
3342,1
9533,1
1871,1
3352,1
7982,0
3110,1
184,1
7031,1
13905,1
2334,1
17843,0
1519,0
6448,0
12371,1
16146,1
13345,0
2452,1
7053,1
11925,0
10087,1
2623,0
12224,1
7747,0
5131,1
11463,1
7198,0
11041,1
14852,0
7154,0
17135,1
15293,0
2383,0
14188,0
4805,1
2090,0
4198,0
17795,0
12789,1
11535,1
16995,0
2290,0
8496,0
6402,0
16310,0
12698,0
5568,0
8758,0
1170,1
5277,1
6863,0
11125,1
7486,0
8676,0
900,1
4936,1
2709,1
2179,1
8755,0
16218,0
16265,0
12970,1
12104,0
5468,1
2006,1
2525,0
15876,1
13189,1
4267,1
13662,0
13488,1
11776,0
12760,1
9005,0
11716,0
7038,0
5698,0
8285,0
16068,0
16902,0
2436,0
747,1
9584,1
16305,1
15136,1
11302,1
74,1
436,0
3190,0
10268,1
15897,0
609,0
1976,0
10939,1
3811,1
14515,1
6345,1
11603,1
13598,0
17305,1
9120,0
5443,1
9829,0
17278,0
3805,1
12948,0
6308,0
7411,1
10667,0
1694,0
2317,0
1797,0
5127,0
9451,0
13231,1
16841,1
3171,0
9793,1
2415,1
9861,0
6192,0
1727,1
2643,0
8323,1
1037,0
5302,1
8601,0
9340,1
13819,0
7516,1
2298,0
12006,0
89,1
4395,0
10719,1
3570,0
15358,0
17128,1
13502,0
17858,0
2081,1
11829,1
16153,1
4382,1
12475,0
3117,0
8347,1
183,1
7055,0
10410,0
6996,1
6077,0
1770,1
13918,0
11887,1
10961,1
254,0
10067,1
5144,0
16295,1
6884,1
11068,1
11466,0
8709,1
13959,0
8905,1
17223,0
2076,1
1249,1
7568,0
15407,1
8976,1
16869,0
14676,1
7660,1
16293,0
8035,1
12314,1
4699,1
11900,0
13379,1
953,1
1603,1
17686,0
15572,1
2209,0
17262,0
13640,1
3277,0
10593,1
9353,1
14530,1
1228,0
7854,0
4801,0
4162,1
14934,0
13261,0
6055,0
11413,1
14202,1
16654,0
17116,0
16306,1
3616,1
13814,0
14064,0
7280,1
8604,1
9234,1
4145,0
4652,1
2177,0
8472,1
15309,1
4008,1
14859,1
13330,1
14220,0
14787,0
7634,0
14058,0
4151,0
11704,0
13941,0
12929,1
7110,1
10072,0
9255,0
2870,1
15188,0
9764,1
5643,1
7200,1
8989,1
11126,1
9250,1
6226,1
3255,0
5987,1
8016,0
130,0
3446,1
13006,0
620,1
16793,1
11097,0
6602,1
305,1
11507,0
13612,0
5420,1
341,1
12803,1
16816,1
6802,0
2607,1
6210,0
15465,1
15570,1
6089,0
906,1
16134,0
13847,0
5037,1
4687,0
13203,0
1050,1
11295,0
15512,1
10789,0
2020,1
7835,1
4871,0
14522,0
598,1
16604,1
12310,0
9024,0
8233,0
12619,0
3925,0
14297,0
2829,0
8257,1
12426,0
9113,0
13486,0
10055,0
17160,1
6968,0
17838,0
6395,0
8967,0
8460,0
8221,1
10585,0
12712,0
17957,0
6220,0
2768,1
14967,1
16315,0
3215,1
11656,1
11964,0
526,1
17714,1
14521,0
14820,1
10149,1
2041,1
7072,0
4707,0
9752,0
8105,0
12798,0
10218,0
11225,1
3562,1
16131,1
7572,1
1758,1
640,0
13418,0
3939,0
12649,0
10767,1
13091,0
15688,0
5902,0
236,0
12438,0
1121,0
331,1
15350,1
16186,1
15159,0
15687,0
3679,0
15669,0
6880,1
1582,0
2552,1
1602,0
2519,1
12520,0
12393,0
2344,1
12529,0
3476,0
9709,1
12034,1
11708,1
2129,0
3170,1
4577,1
17663,0
7878,0
10818,0
15593,0
1622,1
14754,0
11376,1
8275,0
2720,1
13921,1
16182,1
7022,0
9346,1
8802,0
10120,1
9990,1
15769,0
11670,0
8910,1
4265,1
10089,0
3643,1
4461,0
4530,0
14617,1
16633,1
9727,1
5916,0
2599,0
5335,0
9414,1
2058,0
4271,0
15427,1
8824,1
8712,0
10757,0
16621,1
1357,1
3134,1
8707,1
6125,0
15461,0
6279,0
4603,0
14332,0
7160,1
337,1
8371,1
6594,1
9991,0
266,0
847,1
10786,1
11437,0
12807,1
2411,0
16266,1
9597,0
3260,1
14506,0
10716,0
12088,1
2220,0
17336,1
13459,1
12655,0
17222,0
1011,0
17836,1
14061,1
1676,0
14206,1
12045,1
1813,1
13372,0
4572,1
16622,0
12994,0
4355,0
9124,0
2785,1
3145,0
4150,1
9953,0
13114,1
13141,1
15689,1
8026,1
1952,0
8765,1
8013,0
6253,1
2629,1
12582,1
7642,0
15582,1
2426,0
8429,1
9782,1
2046,1
6780,0
11739,0
15874,0
15100,1
1641,1
612,0
7378,1
6659,0
6877,1
11809,0
6062,1
4310,1
4740,0
13394,1
11703,0
725,1
16606,1
428,0
15711,1
156,1
7467,0
16081,0
6938,0
1708,0
1853,0
12874,1
4655,0
2783,1
11849,1
5135,0
9825,1
15449,0
3858,0
7758,1
10326,1
1730,0
9462,1
17555,1
3187,1
1428,0
8732,1
1747,0
5637,0
12256,0
3526,1
5437,0
5298,0
320,0
13840,1
3765,0
9203,1
3812,1
3003,0
10327,1
280,0
1417,0
12076,0
13788,0
10261,1
15677,0
9468,0
14534,1
3735,1
3768,0
7593,0
17054,1
1544,1
10579,1
15048,0
12206,0
9265,0
7616,1
9034,0
2825,0
14054,1
13107,1
3843,0
13806,0
5963,1
8076,0
6281,1
16735,1
4852,0
2939,0
16130,0
6087,0
16260,0
11007,1
17696,0
15686,1
15353,0
3567,0
170,1
2458,1
17729,0
16495,0
5265,0
2002,0
1612,1
12559,1
8915,1
14257,0
15257,0
16670,1
7272,0
11885,1
338,0
16016,0
6369,0
12522,1
1762,0
15932,1
1615,1
3435,0
3807,0
8425,1
14567,0
7033,1
5117,1
709,1
5128,1
17092,1
10236,0
4567,1
12949,1
14744,1
1402,0
13029,1
1109,1
856,0
642,1
579,1
12043,1
1350,0
7229,1
2044,0
2793,0
5076,1
17802,0
12185,0
16279,1
14153,0
4896,1
10371,0
12064,1
8608,1
2893,1
14709,0
11505,1
17375,1
14430,0
3607,0
14416,0
11121,1
1989,0
11851,0
3584,1
14832,0
16697,0
2347,1
1463,1
5841,1
16767,0
12855,0
1772,1
10646,0
9934,0
8103,1
16100,1
16807,0
12283,1
7915,0
15757,1
4364,1
637,1
16558,0
10204,0
14649,0
4449,1
10537,1
244,0
13939,0
17003,1
8533,1
10100,0
8464,1
16450,0
6961,1
15283,1
8594,1
17237,0
648,1
9906,1
14240,0
193,0
5828,0
3448,1
1756,0
9001,1
3776,0
16952,0
6995,0
4387,1
17857,1
17481,1
10314,0
6923,0
2968,0
4492,0
17024,1
13194,0
16484,1
10735,0
6024,0
9909,1
3160,1
10695,1
11473,0
9362,0
6419,0
13276,1
13233,0
4495,1
15616,0
12553,0
16729,1
9747,0
16714,1
17881,0
1085,0
368,0
1711,0
16564,1
12725,1
6924,0
11589,1
3580,1
9443,1
3591,0
2077,1
16418,0
5329,1
8270,0
15106,1
17084,0
13739,1
14217,0
13896,1
3621,0
3464,1
16209,0
11487,0
4256,1
2887,0
15147,0
8979,1
5683,0
15681,0
16275,1
16488,0
11911,0
4590,0
4759,1
8544,1
14080,0
10777,0
6150,1
3495,0
3680,1
10803,0
4671,1
6727,0
3030,1
17205,0
304,0
17581,1
12421,0
13059,1
3438,1
3006,1
6366,1
14626,0
189,1
17186,1
8162,0
13867,1
9550,0
14070,1
11416,0
3615,0
15302,1
15546,1
15552,0
245,1
17665,0
13256,0
13655,1
1472,0
1835,0
4924,0
9602,1
14495,0
3804,1
13716,1
10028,0
7227,0
3887,1
8792,0
13576,1
3370,0
321,0
67,1
17373,0
4858,0
13446,0
4499,0
12758,0
