,R,Q,A
1584,5.903715011713469,3,1
3290,2.467082612871276,3,1
14547,2.108585026950416,1,0
5828,6.685556885136922,3,1
22000,10.998950806534506,2,0
16262,10.3102664307272,0,0
29074,9.842334762989722,2,0
25624,2.217625134268882,3,1
16095,0.8277246789763589,3,1
18630,10.751486844837736,3,0
27769,5.501733199579929,3,1
2455,11.691854065897267,3,1
18265,9.292792533765471,1,0
18544,4.260766116356752,1,0
16016,3.475827315282886,2,0
22287,3.5135488482576975,2,0
10995,4.469410607661768,3,1
21529,1.8871276304358262,2,0
4802,7.933560568776074,3,1
16381,10.785876275846098,1,0
28307,6.998867111780747,3,1
18215,8.018174584771891,1,0
7357,1.9232840630323866,3,1
8082,15.686346866369377,3,1
15398,6.859242374532201,3,1
18697,3.234237414234502,3,1
13769,1.3608044573799023,1,0
14205,6.877038691964531,3,1
22563,15.263008315393801,3,1
3455,6.262645710040319,2,0
9718,4.785911340716327,3,1
6336,6.778458634396868,3,1
16312,8.014064642131835,3,1
8943,8.962589119322976,3,1
10624,9.97829556605866,0,0
29292,3.150710474809649,2,0
11363,2.4803048870745266,3,1
1928,3.8373978473963843,3,1
13291,5.7687200519307265,3,1
4479,9.235527938574288,1,0
11089,4.229409526981789,2,0
23975,6.590080700859543,3,1
20144,1.7290229509918986,1,0
24056,11.780102811280317,0,0
20017,5.66652218221288,1,0
15880,2.039479946784809,1,0
6056,5.921908488581719,2,0
27834,3.224060790725875,3,1
18685,5.97702810025702,2,0
738,4.903696005096843,3,0
8181,5.449510441413586,3,1
3806,34.90495967743729,3,1
17954,1.4402573557025111,2,0
8440,16.112678214892494,3,1
13306,3.5758924021281038,3,0
14450,5.795434963531893,1,0
24485,2.4051120240334525,1,0
16185,5.885192272102906,3,1
2388,9.361563319219435,3,1
19570,7.285341609864815,3,0
26460,6.132285223183258,3,1
12285,16.435981702885822,0,0
21600,1.7482353583450405,3,1
9199,5.063030910127868,2,0
25844,19.90311440596497,3,1
6554,1.1788132865684817,0,0
8892,2.8051219210353513,1,0
10714,8.13949378506551,1,0
8328,11.455181571297057,3,1
15164,2.853859983176398,3,1
17614,5.091881436769771,3,1
10555,4.323091787731137,0,0
2688,4.711870022423554,2,0
12645,2.6170650424853483,3,1
15753,9.7193876557493,3,1
13771,12.017469413316942,2,0
9807,7.411583922491123,2,0
12619,4.8898362237615896,2,0
6054,5.39558156179748,3,1
28611,5.924227386428713,2,0
7619,2.498174329722657,3,1
24335,12.1759782189648,2,0
1018,9.339848113034202,2,0
3347,4.015676535496767,3,1
8445,2.4880008650428973,3,1
20960,7.230678848880817,1,0
7231,8.720674775578118,3,1
13466,11.326897915817467,3,1
29151,6.548391997672259,3,1
11830,4.324195467779527,1,0
9145,3.3230620997311804,3,1
9902,9.397588472214327,3,1
5252,8.896517132495196,2,0
16199,8.125116056830723,1,0
29013,1.8462083672194531,3,1
11951,5.098414627600255,3,1
3632,3.3923664711387014,3,1
10309,3.0736825787149504,3,1
13688,18.015200426795367,2,0
10065,4.591135682392447,3,1
10604,1.9354447398606456,0,0
21444,2.816857215640114,1,0
5346,8.112230041001244,3,1
28596,4.104566455513746,3,1
9931,4.140012769801068,2,0
3873,6.215536825942226,3,1
8443,4.969355532436781,3,1
3741,4.280504438634634,3,1
27311,9.031233222468186,3,0
5717,1.4280696385879832,3,1
11301,3.1625933122108676,1,0
14473,3.9469282148993092,3,1
14781,7.684537483054859,3,1
5752,4.067917303708067,1,0
20669,7.187036056739707,3,1
20592,5.930020636751352,3,1
14244,1.4691982479557961,1,0
12676,2.1898489409740405,3,1
3125,9.587557734255014,3,1
29124,3.972177380409975,1,0
1871,18.946148918019563,2,0
9794,6.560545423316235,3,0
20386,4.741728308181822,3,1
3241,2.862330715653435,2,0
26291,1.5915998896488617,3,1
9569,2.106790970060396,1,0
4872,2.6429208861916598,1,0
2215,7.87583047174725,1,0
8032,2.261896800092813,3,1
8903,10.249247472679961,1,0
1661,6.409145465404885,2,0
2642,25.062254925038552,3,1
27513,11.672374627007482,3,1
25316,3.9186743780748126,3,1
19968,4.26295811755583,3,1
17238,5.07860872398531,2,0
23318,0.5477290364800558,2,0
5795,3.6236275253928634,1,0
5431,6.032724643192319,2,0
23757,3.7201164767107437,3,1
6865,5.118758430083519,1,0
244,5.461519766493504,2,0
23096,1.6881268453405318,1,0
13605,1.5041130086636618,3,1
16218,22.390098119482925,2,0
7363,1.9213523312958292,1,0
22515,4.918918070038281,1,0
23739,6.962510801249709,1,0
3548,11.931872898391536,2,0
16743,2.301440790608786,3,1
17712,10.46315736613765,3,1
6451,6.1416566670577915,2,0
17372,4.779644312375365,2,0
10316,7.23814735429455,2,0
20029,4.615863112866209,2,0
12826,3.9882642516814393,3,1
14682,4.44781298495013,3,1
25150,1.7051748902400767,3,1
4890,3.6955543093659897,3,1
29112,24.945214451737172,3,1
14340,3.438018469314204,3,1
24145,1.8231752429388386,3,1
22457,3.1373732272777106,3,1
1223,6.837482365621904,3,1
17968,0.9693110667308609,3,1
23449,4.923169494439238,2,0
5863,3.0057709254608524,3,1
12378,5.784431884233551,3,1
21398,1.3624453349299959,1,0
10214,6.6298350696448765,3,1
26767,9.570377364371915,3,1
19985,5.246690178771399,3,1
11376,17.69485025086348,3,1
8248,14.002180222220833,3,1
16455,12.94127329044164,3,1
15757,4.367103674989641,3,1
19470,12.923320319331573,1,0
8093,5.863066352132629,1,0
3995,2.8997463339132827,1,0
22027,1.1188940654542496,3,1
18704,2.3867553320821275,3,1
20082,5.682065925607515,2,0
29515,4.393821314046899,2,0
22158,2.303662724222529,3,1
17482,8.815647653613166,1,0
15476,10.763896636382986,2,0
25916,1.4329487327546095,3,1
21331,1.1883843975107484,3,1
29367,0.24853914330257842,2,0
19756,2.7616336196655453,3,1
10092,0.8178622860395255,3,1
19163,6.943098023856239,3,1
8349,19.82249825831815,1,0
3984,4.953500416777146,3,1
9094,1.2970377124187564,1,0
15274,1.7890589632441147,1,0
29724,1.0760116041906789,3,0
16363,2.6174662308063006,3,1
26533,9.34942260870816,3,1
19226,6.443286665992976,1,0
28465,2.9050395968935963,3,1
9402,6.503736323464503,1,0
28665,10.304162829074514,3,1
14478,8.514776606750829,3,1
11210,2.594515879112175,3,1
26630,4.5570842021651465,1,0
24023,1.1326147115795253,2,0
27066,3.216785069172057,2,0
23324,0.6998677537453681,3,1
9668,5.996674053585883,3,1
3756,9.300067421389087,0,0
24367,8.942284513985133,3,1
13557,4.4543421973529265,3,1
11568,2.9142591758390703,3,1
3574,3.3529879101716746,1,0
5546,8.615981561122608,3,1
463,5.800540713895998,1,0
21426,16.488915725576746,3,1
21939,3.7864856989695452,3,1
9774,2.6087969840258363,2,0
6586,3.3869559508951825,3,0
9382,6.030885832179264,2,0
5208,8.449174269442903,3,1
7981,2.6910678999495787,2,0
16379,6.882946468849726,1,0
96,16.26622655933528,3,1
14954,10.377747959336979,1,0
13465,5.5154950006204935,3,1
983,9.807754468526893,3,1
2767,4.471644718003507,3,1
20048,3.3528852911356046,1,0
25399,5.189573738838639,1,0
14863,10.578260290892466,3,1
29830,12.399499317536332,3,1
18793,5.8680961242524035,1,0
6106,14.929902721556292,3,0
8814,2.8244605344715157,1,0
26496,1.9233003852319697,3,1
17727,3.948897992338087,2,0
2347,10.428172908038498,2,0
23409,2.7802727466987323,0,0
28683,8.106006337462041,1,0
19730,1.643121915381136,3,1
22690,15.806536413154497,1,0
8370,5.710403779864403,3,1
8945,3.9891786438111896,2,0
28281,4.033823795494794,2,0
13391,2.3207620056852,3,1
20098,7.675141536433051,2,0
28390,7.634170029375479,2,0
4562,10.813920837192512,2,0
16010,2.4558354173930943,3,1
26008,2.383275067960062,1,0
5078,3.5635771646364596,3,1
18088,2.5245320890491247,3,1
1527,1.7357323821886166,1,0
14621,1.5841751926778853,1,0
20496,4.321292405519705,2,0
20726,2.261606298301462,3,1
15953,2.917354045049306,3,1
4586,14.43214027106902,3,1
9939,6.039352565400674,1,0
22625,5.7595419843797675,3,1
5130,10.445771236289488,0,0
818,11.49261005657814,0,0
17411,4.214641990983771,3,1
2824,1.8878999522763813,3,1
15500,16.54081120895924,2,0
27552,4.1519352524892685,3,1
7723,2.9405681603730023,3,1
25958,2.1087639175152293,2,0
16792,4.774086927776628,1,0
15221,4.88443890276548,3,1
22974,6.865014555131942,2,0
7073,14.157773921702702,3,1
951,2.0402443255252845,1,0
6084,1.9725404717596366,3,1
29025,3.3292710336702447,3,1
18865,0.9772392845390616,3,1
12301,7.107471611203313,3,1
27730,2.800272493831088,2,0
13559,10.617521547718262,3,1
27353,2.4852004369194725,3,1
13879,4.328884579269035,3,1
17957,3.644386231548863,3,0
18564,10.954940199441591,3,1
16071,21.51504114248219,2,0
17946,2.3684120210523854,3,1
16498,3.0289617230769545,2,0
8403,4.1965056024536445,3,1
11981,2.1856802948668017,3,1
502,5.917772648108545,2,0
21333,5.237487067760878,2,0
27237,5.2002948185494615,3,1
27287,2.0997769850366486,2,0
12874,8.5384213879694,3,1
26680,9.202339356833269,1,0
22381,5.541896271164046,3,1
28037,7.454614384885437,3,0
3090,11.14449335579156,0,0
17150,1.3308004282253934,3,1
5037,8.00925680215531,3,1
13234,5.334825786536095,3,1
10942,12.208323955097203,3,1
17431,2.97871655035722,1,0
13601,5.285147545789625,1,0
2546,3.7787822596895797,3,1
7757,16.906957381415488,3,1
20771,9.950205912028817,3,0
27883,2.969219989352183,2,0
1486,0.6000358025776612,3,1
29183,1.047267341620643,3,0
6385,3.6126194263605163,3,1
14019,4.322158799978451,3,1
1974,3.9340862787486666,3,1
20741,3.972200377582914,3,0
5773,8.025687948235014,3,1
3544,6.549015691374203,2,0
27803,1.5253580722343667,1,0
29753,8.219915049019844,3,1
27150,0.9223470310765093,3,1
7394,7.526739911371828,3,1
14267,5.223514366749813,3,1
19215,5.2766210249367935,3,0
29641,8.536271730719605,3,1
26259,3.336609745023077,3,1
12832,7.120911874401006,3,1
22710,8.862865185395057,2,0
29092,1.0810906245647134,3,1
17087,4.51789404307679,3,1
2033,5.287584110462841,3,1
16210,10.396641260070865,3,1
23066,3.007256092232538,2,0
18171,5.003230344116043,3,1
191,8.735528785355651,1,0
23979,7.141043767237715,3,1
19432,2.0297649018382264,3,1
6989,4.87639792772487,1,0
19634,3.7937793030300786,3,1
23167,14.669623322938534,2,0
14491,1.0993795482187247,2,0
17358,2.4469304837275088,3,1
28963,4.02320025532141,3,1
20376,10.878073219684183,2,0
19032,6.810567953134236,1,0
15190,4.232252720402452,3,1
5031,2.987293439714416,3,1
12715,27.927303061667104,3,1
19465,2.0541265741785564,3,1
21947,2.7830550167713377,3,1
7846,12.5312891410625,3,1
12835,2.068954651978504,1,0
13971,6.837725265113102,1,0
29810,8.72660389556234,3,0
21524,1.7057385492316657,3,1
11354,4.0317815476956484,3,1
4885,0.8025682668760268,2,0
12975,1.0465520701574222,3,1
25457,4.8972905903686135,3,1
21278,1.8333027027984832,3,0
13289,2.3416381105499124,2,0
25083,7.2581404246267684,3,1
24199,12.852465511942775,1,0
11369,9.041271224124204,3,1
20341,3.442418699366461,1,0
1762,1.649628816545348,1,0
6275,4.302213230094218,3,1
8173,7.334228365099947,3,1
9053,4.211031420530073,1,0
2964,4.822962655298373,3,1
17808,5.365552495971454,3,1
8076,10.062599721973635,2,0
9428,11.303321390084164,1,0
2403,7.658255569069932,1,0
15114,2.69700930881677,3,1
13825,12.638198140587079,3,1
23057,5.121388540985744,1,0
5088,1.6204580669638942,2,0
3015,6.3444168803913445,2,0
25189,6.015774466081741,3,1
13651,12.73777358276502,3,1
18914,4.108928306958109,0,0
10634,8.792521747439732,3,1
13021,13.231489352974226,3,1
17332,2.456553623401597,0,0
3233,7.766263548666398,2,0
25426,7.422740094012429,2,0
5958,3.7377926353186934,3,1
6984,3.1625384965778736,2,0
26612,4.209692277845914,2,0
6806,5.945917065068207,3,1
23784,8.481127548106848,3,1
2702,14.183061635721486,0,0
12726,0.8562603014706841,0,0
7452,8.411987953224628,2,0
12346,6.5003939550670555,3,1
20428,2.9876981890853473,2,0
23976,7.704992281765421,2,0
6667,1.1569477910105812,3,1
13302,6.605432354084266,2,0
24877,7.298711132221591,3,1
18510,1.9731793292857773,2,0
3114,2.6454742768552606,3,1
26652,4.8347411775735605,1,0
19882,15.524966505239474,1,0
3018,1.8191046455115343,3,1
18003,9.498934064048964,3,1
12121,4.965007193793733,3,0
10670,9.65707670475837,3,1
19953,2.854573413721411,1,0
4645,5.635701795895459,3,1
11761,16.452106269605384,1,0
8263,5.056977161483606,1,0
7116,6.435661251298047,3,1
25630,8.815655613014712,3,0
700,14.330061071577905,3,1
22196,9.887155848987042,3,1
27570,3.4475203353583526,3,1
19642,6.256002353177964,3,1
7316,3.0692384493528992,2,0
7029,1.5771780941821776,1,0
23610,3.8238379813441385,3,1
1175,2.0362920388966534,3,1
11678,6.0150669079890715,2,1
18967,16.264783319114848,2,0
3031,3.354977412430051,3,1
144,4.568662125824423,3,1
12337,0.7001250737487894,0,0
2,4.146850753112861,3,1
13857,15.334512472565864,0,0
532,4.749648966794145,3,1
10280,1.6371260273070383,3,1
2752,5.462135764435939,1,0
6848,4.97201044752892,3,0
4298,6.84739020213845,2,0
15216,3.043904043382049,0,0
11661,1.7665983321607022,3,1
27687,8.16099535618561,3,1
15236,7.385944244006232,3,1
18918,5.051245856570562,2,0
8336,9.591622385606058,2,0
28751,13.865766272459748,3,1
13512,0.877105781293049,3,1
20847,2.266453160513654,3,1
15719,1.8260926097025183,3,1
11083,4.357737522823867,3,1
5009,1.5898271654123692,3,1
7630,3.0541584569650673,3,1
11708,3.895992255054999,0,0
2081,8.914365140562863,3,1
5525,9.946043810370842,3,0
1455,7.696153901212657,1,0
8229,1.5561894681543404,1,0
6326,5.817213070302917,2,0
16345,1.8799590834118098,3,1
21688,2.193131817298932,1,0
2244,2.0586974736291213,0,0
11915,6.504046859460447,3,1
3979,3.583621771921961,3,1
20656,8.852385942956213,3,1
22231,14.663970629643911,3,1
16809,2.2315665579678146,2,0
7952,4.391610028079556,3,1
4629,2.943301276886947,3,1
23210,2.4226043419369647,1,0
670,2.0653614697280016,3,1
2568,7.840684281767556,1,0
22273,6.605771590710422,3,1
18669,2.1498773902961954,3,1
26153,1.6398011390376537,1,0
23687,1.5261315107917917,3,1
24948,4.360215820984131,3,1
27778,1.981701741034401,2,0
6948,3.1462626015143496,1,0
9343,3.8535100433982574,3,1
14075,5.716323620595306,3,1
7090,4.530327063358684,2,0
29933,20.27594551207973,3,1
20358,3.260439106925412,3,1
9229,8.904598055768119,2,0
10045,7.300322502781061,3,1
15352,5.487325741333292,3,1
3197,6.988586832678056,3,1
16739,5.585244134615257,3,1
7257,2.1657339836260903,3,1
10463,3.417101395864897,3,1
1497,6.407699340716427,3,1
22638,4.798618719871964,1,0
3048,4.470825385679907,2,1
5400,5.013586442234242,2,0
12190,3.5705096028372463,3,1
11252,5.171580391615136,3,1
16317,14.47239927040852,1,0
16414,2.0042711225690857,2,0
2893,11.253431608125888,3,0
13939,2.6231123727200374,1,0
21614,1.873369536326504,0,0
11096,6.54590924562844,3,1
27330,5.517352326211354,1,0
27455,4.958894082243448,2,0
3203,4.599886172122792,0,0
2845,3.5821153120705675,3,1
6749,9.239114996571194,3,1
5506,8.9222856265466,2,0
4924,4.457926277241179,3,1
5420,7.659673817139743,1,0
27588,10.36369760415001,2,0
1015,3.352759064684272,2,0
23308,10.110062042957827,2,0
11910,3.149366245897084,2,0
8168,1.574298416540475,3,0
13643,4.912269782734353,1,0
27059,6.250911791836395,2,0
5708,2.5201279732214985,3,1
9156,13.985430062183456,2,0
25960,2.6927514841826663,3,1
928,11.152693778619344,3,1
21145,5.222722268938286,2,0
10461,4.713803161555658,1,0
25520,4.77481615818307,1,0
857,16.167092940127294,3,1
17729,6.683215558888172,2,0
14079,9.106284322176357,3,1
6765,8.53964214853656,3,1
19472,6.978701869935588,0,0
13087,3.8818799107082427,1,0
26068,2.849012657068391,3,0
28524,15.082019148369342,1,0
13324,2.119160458397202,3,1
27825,2.6285547051071543,2,0
13299,3.016412014650963,3,1
14436,19.168466017556092,3,1
12133,3.2126372564789802,0,0
3135,8.320508575094841,2,0
16416,4.595159568779315,3,1
16215,2.035783023630022,3,1
28078,4.965301734014228,3,1
19442,3.181628903455847,3,1
13892,7.914796778816756,2,0
18593,5.879469794694713,1,0
3794,10.551656984640653,2,0
3880,5.127477957124332,2,0
6831,4.934897120793499,2,0
8859,2.8534950023301033,3,1
23901,1.6591062162501902,1,0
15629,0.7055518879911739,2,0
1542,4.346130281780317,1,0
6756,2.172209393683479,2,0
9511,2.995123613500403,3,1
17454,10.756901059342512,2,0
25848,2.006108193770874,3,1
2677,4.471217099743943,1,0
2829,3.046887765620703,0,0
7824,8.4349093403492,3,1
28582,4.7426345617535075,3,1
6414,1.0727871678299115,1,0
29032,12.848466101049631,3,1
6255,8.682099112118584,3,1
13161,2.713674976418807,1,0
19220,2.440477290100175,1,0
22097,5.282219014283861,0,0
7876,3.072283247387959,2,0
6444,4.172461115372654,3,1
27845,6.483857241905687,3,0
27812,2.019398980185586,2,0
13376,10.744025650050459,3,1
490,7.873759545168518,3,1
4612,4.244405076022537,3,1
14018,14.768923447872536,1,0
20865,4.827010360975231,3,1
18663,0.8474038864633304,2,0
11462,2.6935661645604467,2,0
9359,3.9243217911485537,3,1
17167,3.4964203437326185,1,0
10176,1.8835130776466582,3,1
23507,6.477095750988649,0,0
24960,3.4918287775362833,1,0
20177,1.0240966221807057,3,1
21861,4.098189368599027,1,0
10256,3.76265359125514,3,1
21620,7.714064512485866,1,0
27546,0.2770472518091648,3,0
3121,3.1309006903369667,2,0
8594,3.96684898007463,3,0
22207,2.7314390113235505,3,1
29472,4.968875170190889,3,1
23751,1.1234248334868173,3,1
13542,10.151137932933425,3,1
7590,4.886586049103956,1,0
17026,8.80680033803456,3,0
19964,2.4717617726431125,3,1
5236,16.11589093084447,3,0
3929,15.327578696940247,0,0
20457,6.709529962572333,2,0
12479,8.52947418292799,3,1
19034,7.148678179231931,2,0
661,3.8444989906373515,3,1
17813,16.332634915257447,1,0
11586,2.0897788584799106,3,1
199,3.2823961878607353,1,0
2606,8.354479187964426,1,0
19951,2.2733359855005304,3,0
1266,2.8130224630282292,3,1
26895,3.921910328131956,3,1
22937,5.452949795469856,0,0
23692,10.428531492886489,3,0
25764,19.088928019498393,3,1
24590,3.279669187436082,2,0
17360,7.211079935946534,3,1
10672,21.92184042684739,2,0
3834,9.71765052979649,3,1
23805,8.832717263685465,2,0
1538,3.2547221208739634,3,1
25954,1.7141847731486637,3,1
5952,2.4764916495584473,3,1
20129,9.608817151621366,0,0
20759,2.0778224014599864,2,0
16859,6.565821868547445,2,0
275,1.1281055662264652,3,1
26089,8.926171908304127,3,1
27403,5.794386108775565,1,0
3085,5.786973401355108,1,0
27510,1.4477473142288617,0,0
29036,2.4232254224015017,0,0
23311,6.936785144525615,1,0
18920,11.081096044062376,3,1
19265,5.225107107608235,3,1
26741,15.615770342000578,3,1
15222,1.43586825694425,3,1
20113,2.275202610041341,3,1
20949,9.40219093529948,2,0
1590,3.9000989660184664,1,0
18227,9.834781342119724,3,1
29884,6.003384517683763,0,0
22826,2.6649876505456738,2,0
21594,5.03276782593874,1,0
24452,2.1761879923665415,3,1
11973,7.633491743417659,3,1
6304,5.20033934316246,1,0
21338,10.958108496973411,3,1
20921,2.451091355555082,3,1
7199,3.692777832915024,1,0
29355,4.999920870487354,3,1
26698,2.2620909060289605,3,1
12449,1.4918779042273966,3,1
9043,2.2511111096896173,3,1
6363,4.526808436929096,3,0
26564,1.82713922448262,0,0
22977,8.65091955960311,3,1
10510,24.515779561941326,1,0
12288,2.6989614361150656,3,1
13827,7.9712262902664,1,0
2908,10.534514504141956,1,0
17609,2.1920231581417777,3,1
19170,2.2206694586176092,3,1
19218,8.287355609794863,3,1
10374,3.79453385240076,1,0
7370,5.245715608314297,3,1
547,7.925198035643792,1,0
10085,11.456462118189293,1,0
16931,3.1584572786276075,2,0
9852,10.254388952001712,3,1
14469,1.858056568191339,2,0
12685,5.2756636516444635,3,1
2560,3.1886304744570007,3,1
2268,9.277436962026297,3,1
6312,2.5558384845593825,3,1
7080,7.9322858153533105,2,0
1278,5.337768381913757,3,1
13333,2.4322018877107077,1,0
26127,8.698460863615576,3,1
7647,6.472143344869281,3,1
9449,4.256210123742719,1,0
1236,4.102997914646607,3,1
25299,4.088474364504128,2,0
21272,3.902438002319932,3,1
8242,10.206482084498276,3,1
24445,2.193020399680831,2,0
2837,5.388533751664632,3,1
3652,5.7631866107937455,3,1
14678,7.141576042727394,3,1
2766,2.661358025494696,3,1
8530,5.308530780170549,3,1
9500,8.34540193486352,1,0
11990,5.169123399560477,1,0
1764,9.317042283884383,3,1
21817,4.999091770445628,3,1
21067,0.8896979226217137,3,1
2813,2.7344100359331467,1,0
10962,3.6535267063657457,2,0
6558,13.079440120555315,2,0
14556,2.634417533327605,1,0
1837,5.798730767776989,3,1
261,4.761152375907501,3,1
17818,3.893667796773109,2,0
18821,4.2220182069027565,3,1
5318,6.810707368589721,3,1
17989,5.15782580762332,3,1
23291,4.727072269389236,3,0
15364,3.068322064070484,3,1
2605,11.132015605250295,3,1
4057,6.281841669497703,3,1
22654,7.436377519121898,3,0
24710,1.0229939927333405,3,1
15113,2.260112987851489,3,0
13922,4.898845177166743,3,1
14524,3.495946360306295,3,1
20615,1.383216105801703,3,0
16489,5.607672620406616,3,1
13513,2.370800574437648,1,0
18347,3.2015958132469002,3,1
241,1.1011612154789177,3,0
9818,2.0793530781592757,3,1
1413,1.5381132308834473,1,0
10554,9.17247693157874,3,1
8834,12.147900891078855,2,0
16890,3.4190226110742303,0,0
25134,2.748234630474981,3,1
7246,3.959021164682216,3,1
8690,5.843195349740954,3,1
29923,2.093401552964321,3,1
6579,10.860687158240765,3,1
23795,10.393161697091065,2,0
18359,5.1134566078735135,2,0
18219,3.6500893660348326,1,0
7522,2.8380250259959556,2,0
29047,2.2862919747163772,3,0
29564,10.327535860613875,3,1
3475,10.075522606680243,3,1
17492,23.60989428250697,3,1
29018,1.8364634219934755,1,0
570,3.9884089337165625,2,0
21214,1.993400202451162,3,1
18675,8.903036356860694,1,0
1289,15.673550777221587,1,0
24873,4.484243815598182,0,0
20317,8.010925458590535,3,1
1139,10.719693936792293,3,1
